Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,Employment_status
2001,0.58,0.74,4,215,3,0,0,sales,low,yes
2002,0.82,0.67,2,202,3,0,0,sales,low,yes
2003,0.45,0.69,5,193,3,0,0,sales,low,yes
2004,0.78,0.82,5,247,3,0,0,sales,low,yes
2005,0.49,0.6,3,214,2,0,0,sales,low,yes
2006,0.36,0.95,3,206,4,0,0,sales,low,yes
2007,0.54,0.37,2,176,2,0,0,sales,low,yes
2008,0.99,0.91,5,136,4,0,0,sales,low,yes
2009,0.5,0.75,6,127,3,0,0,sales,low,yes
2010,0.74,0.64,4,268,3,0,0,sales,low,yes
2011,0.56,0.58,4,258,3,0,0,sales,medium,yes
2012,0.34,0.39,2,136,3,0,0,sales,medium,yes
2013,0.48,0.94,5,255,6,0,0,accounting,medium,yes
2014,0.73,0.62,3,218,3,0,0,accounting,medium,yes
2015,0.59,0.87,3,268,4,0,0,accounting,medium,yes
2016,0.81,0.57,3,224,2,0,0,hr,medium,yes
2017,0.9,0.66,3,231,3,0,0,hr,medium,yes
2018,0.41,0.84,6,191,6,0,0,hr,medium,yes
2019,0.89,0.92,4,165,5,0,0,hr,medium,yes
2020,0.48,0.84,4,252,3,0,0,technical,medium,yes
2021,0.79,0.97,5,266,2,0,0,technical,medium,yes
2022,0.98,0.66,5,248,3,0,0,technical,medium,yes
2023,0.75,0.7,4,144,4,0,0,technical,high,yes
2024,1.0,0.41,4,174,3,0,0,technical,low,yes
2025,0.24,0.82,5,179,6,0,0,technical,medium,yes
2026,0.84,0.43,6,246,4,0,0,technical,medium,yes
2027,0.56,0.86,4,201,3,1,0,technical,medium,yes
2028,0.92,0.93,4,208,3,0,0,technical,medium,yes
2029,0.61,0.98,3,267,3,0,0,technical,low,yes
2030,0.84,0.77,4,262,4,0,0,technical,low,yes
2031,0.85,0.59,3,235,3,0,0,support,low,yes
2032,0.67,0.57,2,160,4,0,0,support,low,yes
2033,0.54,0.94,4,267,4,0,0,support,low,yes
2034,0.75,0.56,5,175,4,0,0,support,low,yes
2035,0.82,0.79,4,224,2,0,0,support,low,yes
2036,0.76,0.6,4,177,2,0,0,support,low,yes
2037,0.19,0.53,6,191,4,0,0,support,low,yes
2038,0.61,0.41,3,138,3,0,0,support,low,yes
2039,0.51,0.8,3,218,2,1,0,support,low,yes
2040,0.52,0.88,3,179,2,1,0,support,low,yes
2041,0.74,0.58,3,241,3,0,0,support,low,yes
2042,0.98,0.91,4,240,3,0,0,technical,low,yes
2043,0.71,0.92,3,202,4,0,0,technical,low,yes
2044,0.33,0.88,6,260,3,0,0,technical,low,yes
2045,0.98,0.97,3,196,3,0,0,management,low,yes
2046,0.52,0.59,2,176,3,1,0,IT,low,yes
2047,0.84,0.65,2,140,3,0,0,IT,low,yes
2048,0.87,0.5,3,242,2,0,0,IT,low,yes
2049,0.48,0.85,3,279,4,0,0,IT,low,yes
2050,0.58,0.55,4,202,3,0,0,IT,medium,yes
2051,0.58,0.84,5,228,3,0,0,product_mng,medium,yes
2052,0.73,0.69,4,171,3,0,0,product_mng,medium,yes
2053,0.68,0.54,4,153,3,0,0,product_mng,medium,yes
2054,0.41,0.68,3,165,3,1,0,product_mng,medium,yes
2055,0.85,0.6,3,182,3,0,0,IT,medium,yes
2056,0.54,0.7,5,239,5,0,0,RandD,medium,yes
2057,0.81,0.61,5,231,2,0,0,RandD,medium,yes
2058,0.7,0.52,4,255,3,0,0,RandD,medium,yes
2059,0.63,0.66,4,237,2,1,0,RandD,medium,yes
2060,0.68,0.54,3,251,2,0,0,RandD,medium,yes
2061,0.7,0.53,4,178,2,0,0,marketing,medium,yes
2062,0.82,0.65,4,148,3,0,0,sales,high,yes
2063,0.72,0.94,4,240,4,0,0,accounting,low,yes
2064,0.77,0.78,3,269,3,0,0,support,medium,yes
2065,0.86,0.91,4,147,3,0,0,technical,medium,yes
2066,0.15,0.97,3,198,5,0,0,management,medium,yes
2067,0.81,0.99,5,143,3,0,0,marketing,medium,yes
2068,0.93,0.98,3,238,2,0,0,marketing,low,yes
2069,0.62,0.74,4,213,4,0,0,marketing,low,yes
2070,0.53,0.81,3,226,3,1,0,sales,low,yes
2071,0.86,0.99,3,169,2,1,0,sales,low,yes
2072,0.92,0.65,4,238,2,0,0,sales,low,yes
2073,0.97,0.83,4,202,3,0,0,sales,low,yes
2074,0.39,0.78,2,205,6,1,0,sales,low,yes
2075,0.45,0.66,3,111,4,0,0,sales,low,yes
2076,0.41,0.47,4,104,3,0,0,sales,low,yes
2077,0.51,0.69,3,212,3,0,0,sales,low,yes
2078,0.74,0.62,4,236,4,0,0,sales,low,yes
2079,0.69,0.57,5,245,2,1,0,sales,low,yes
2080,0.84,0.64,4,267,4,0,0,sales,low,yes
2081,0.69,0.66,5,106,5,0,0,sales,low,yes
2082,0.93,0.53,5,198,3,0,0,sales,low,yes
2083,0.33,0.45,6,239,3,0,0,sales,low,yes
2084,0.25,0.65,5,220,3,0,0,sales,low,yes
2085,0.63,0.59,5,224,3,0,0,sales,low,yes
